school_type, address_postcode,school_name, postal_address_line_1, school_status, postal_town, address_state, postal_postcode, lga_code, lga_name, address_line_1, postal_state, school_no, address_town, education_sector, full_phone_no, objectid
Primary,3051,North Melbourne Primary School ,210 Errol St ,O,NORTH MELBOURNE,VIC,3051,24600,Melbourne (C),210 Errol Street ,VIC,1402,North Melbourne,Government,03 9329 6902 ,231
Primary,3016,Williamstown North Primary School,133 MELBOURNE RD ,O,WILLIAMSTOWN NORTH,VIC,3016,23110,Hobsons Bay (C),133 Melbourne Road,VIC,1409,Williamstown ,Government,03 9397 5722 ,234
Primary,3182,St Kilda Primary School,2B BRIGHTON ROAD ,O,ST KILDA ,VIC,3182,25900,Port Phillip (C) ,2B Brighton Road ,VIC,1479,St Kilda ,Government,03 9534 3993 ,252
Primary,3068,Fitzroy North Primary School,Fergie Street,O,FITZROY NORTH,VIC,3068,27350,Yarra (C),Fergie Street,VIC,1490,Fitzroy North,Government,03 9481 5860 ,257
Primary,3186,Brighton Primary School,59 Wilson Street ,O,BRIGHTON ,VIC,3186,20910,Bayside (C),59 Wilson Street ,VIC,1542,Brighton ,Government,03 9592 0177 ,264
Pri/Sec,3144,Malvern Central School,Spring Road,O,MALVERN,VIC,3144,26350,Stonnington (C),Spring Road,VIC,1604,Malvern,Government,03 8823 9500 ,286
Primary,3067,Abbotsford Primary School,Lithgow Street,O,ABBOTSFORD,VIC,3067,27350,Yarra (C),Lithgow Street,VIC,1886,Abbotsford,Government,03 9428 5977 ,328
Primary,3181,Stonnington Primary School ,Hornby St,O,WINDSOR,VIC,3181,26350,Stonnington (C),Hornby Street,VIC,1896,Windsor,Government,03 9521 3711 ,330
Primary,3073,Reservoir Primary School ,P O Box 69,O,RESERVOIR,VIC,3073,21890,Darebin (C),Duffy Street ,VIC,3960,Reservoir,Government,03 9460 5798 ,637
Primary,3039,Moonee Ponds Primary School,Wilson Street,O,Moonee Ponds ,VIC,3039,25060,Moonee Valley (C),Wilson Street,VIC,3987,Moonee Ponds ,Government,03 9375 2511 ,644
Primary,3013,Kingsville Primary School,58 Bishop Street ,O,YARRAVILLE,VIC,3013,24330,Maribyrnong (C),58 Bishop Street ,VIC,3988,Yarraville,Government,03 9314 5869 ,645
Primary,3041,Essendon North Primary School,112 Keilor Road,O,Essendon North,VIC,3041,25060,Moonee Valley (C),112 Keilor Road,VIC,4015,Essendon North,Government,03 9379 3979 ,647
Primary,3032,Ascot Vale West Primary School ,P O Box 154,O,Ascot Vale,VIC,3032,25060,Moonee Valley (C),Langs Rd ,VIC,4025,Ascot Vale,Government,03 9370 8784 ,648
Primary,3124,Hartwell Primary School,Milverton St ,O,CAMBERWELL,VIC,3124,21110,Boroondara (C),Milverton St ,VIC,4055,Camberwell,Government,03 9889 4012 ,650
Primary,3183,Ripponlea Primary School ,25 Carrington Grove,O,ST KILDA EAST,VIC,3183,22310,Glen Eira (C),25 Carrington Grove,VIC,4087,St Kilda East,Government,03 9527 5728 ,655
Primary,3145,Lloyd Street Primary School,6- 10 Lloyd Street,O,MALVERN EAST ,VIC,3145,26350,Stonnington (C),Lloyd Street ,VIC,4139,Malvern East ,Government,03 9573 4600 ,661
Primary,3044,Westbreen Primary School ,2-10 Pascoe Street,O,Pascoe Vale,VIC,3044,25250,Moreland (C) ,2-10 Pascoe Street,VIC,4158,Pascoe Vale,Government,03 9306 9481 ,663
Primary,3011,Footscray North Primary School ,P O Box 4253 ,O,WEST FOOTSCRAY,VIC,3012,24330,Maribyrnong (C),14 Rosamond Road ,VIC,4160,Footscray,Government,03 9317 9047 ,665
Primary,3146,Camberwell South Primary School,PEATE AVENUE ,O,GLEN IRIS,VIC,3146,21110,Boroondara (C),Peate Avenue ,VIC,4170,Glen Iris,Government,03 9889 4295 ,668
Primary,3166,Hughesdale Primary School,Brine Street ,O,HUGHESDALE,VIC,3166,24970,Monash (C),Brine Street ,VIC,4176,Hughesdale,Government,03 9570 4808 ,670
Primary,3070,Westgarth Primary School ,P O Box 59,O,NORTHCOTE,VIC,3070,21890,Darebin (C),45 Brooke St & 311 Clarke St,VIC,4177,Northcote,Government,03 9481 5577 ,671
Primary,3054,Princes Hill Primary School,280 Pigdon Street,O,CARLTON NORTH,VIC,3054,27350,Yarra (C),280 Pigdon Street,VIC,2955,Carlton North,Government,03 9389 5300 ,488
Special,3058,Coburg Special Developmental School,Cnr Bishop & Gaffney Streets,O,COBURG ,VIC,3058,25250,Moreland (C) ,Cnr Bishop & Gaffney Streets,VIC,5261,Coburg ,Government,03 9354 4366 ,1050
Primary,3121,Richmond Primary School,Brighton Street,O,RICHMOND ,VIC,3121,27350,Yarra (C),Brighton Street,VIC,5269,Richmond ,Government,03 9428 1909 ,1054
Primary,3121,Yarra Primary School ,Davison Street,O,RICHMOND ,VIC,3121,27350,Yarra (C),Davison Street,VIC,5271,Richmond ,Government,03 9428 3286 ,1055
Special,3013,Yarraville Special Developmental School,P O Box 88,O,KINGSVILLE,VIC,3012,24330,Maribyrnong (C),117 Blackwood Street ,VIC,5278,Yarraville,Government,03 9314 4919 ,1060
Primary,3028,Altona Green Primary School,240 Victoria Street,O,ALTONA MEADOWS,VIC,3028,23110,Hobsons Bay (C),240 Victoria Street,VIC,5287,Altona Meadows,Government,03 9360 0777 ,1068
Primary,3104,Boroondara Park Primary School ,40 ALMOND STREET ,O,BALWYN NORTH ,VIC,3104,21110,Boroondara (C),40 Almond Street ,VIC,5288,Balwyn North ,Government,03 9857 5157 ,1069
Primary,3011,Footscray City Primary School,10 Hyde Street,O,Footscray,VIC,3011,24330,Maribyrnong (C),10 Hyde Street,VIC,1912,Footscray,Government,03 9687 2826 ,335
Primary,3186,Brighton Beach Primary School,P O Box 9064 ,O,BRIGHTON ,VIC,3186,20910,Bayside (C),19 Windermere Crescent,VIC,2048,Brighton ,Government,03 9591 0888 ,360
Primary,3031,Kensington Primary School,McCracken Street ,O,KENSINGTON,VIC,3031,25060,Moonee Valley (C),Mccracken Street ,VIC,2374,Kensington,Government,03 9376 6013 ,416
Primary,3182,St Kilda Park Primary School,68 Fitzroy Street,O,ST KILDA ,VIC,3182,25900,Port Phillip (C) ,68 Fitzroy Street,VIC,2460,St Kilda ,Government,03 8598 6444 ,425
Primary,3145,Malvern Primary School,17 Tooronga Road ,O,MALVERN EAST ,VIC,3145,26350,Stonnington (C),17 Tooronga Road ,VIC,2586,Malvern East ,Government,03 9571 6281 ,438
Primary,3053,Carlton Gardens Primary School ,215 Rathdowne St ,O,CARLTON,VIC,3053,24600,Melbourne (C),215 Rathdowne Street ,VIC,2605,Carlton,Government,03 9663 6502 ,440
Primary,3032,Ascot Vale Primary School,Bank Street,O,ASCOT VALE,VIC,3032,25060,Moonee Valley (C),Bank Street,VIC,2608,Ascot Vale,Government,03 9370 6507 ,441
Primary,3143,Armadale Primary School,9-23 Densham Road,O,ARMADALE ,VIC,3143,26350,Stonnington (C),9-23 Densham Road,VIC,2634,Armadale ,Government,03 9822 7003 ,445
Primary,3078,Fairfield Primary School ,P O Box 123,O,FAIRFIELD,VIC,3078,21890,Darebin (C),Langridge Street ,VIC,2711,Fairfield,Government,03 9489 2966 ,455
Primary,3057,Brunswick South Primary School ,56 Brunswick Road,O,BRUNSWICK EAST,VIC,3057,25250,Moreland (C) ,56 Brunswick Road,VIC,2743,Brunswick East,Government,03 9380 1231 ,460
Special,3205,Montague Continuing Education Centre,100 Montague Street,O,SOUTH MELBOURNE,VIC,3205,25900,Port Phillip (C) ,100 Montague Street,VIC,2784,South Melbourne,Government,03 9690 3535 ,464
Primary,3206,Middle Park Primary School ,194 Richardson Street,O,MIDDLE PARK,VIC,3206,25900,Port Phillip (C) ,194 Richardson Street,VIC,2815,Middle Park,Government,03 9690 1336 ,468
Primary,3013,Yarraville West Primary School ,P O Box 138,O,YARRAVILLE,VIC,3013,24330,Maribyrnong (C),30 Powell Street ,VIC,2832,Yarraville,Government,03 9314 3816 ,470
Primary,3058,Moreland Primary School,P O Box 10,O,MORELAND ,VIC,3058,25250,Moreland (C) ,157-163 Moreland Road,VIC,2837,Coburg ,Government,03 9386 2510 ,471
Primary,3186,Elsternwick Primary School ,Murphy Street,O,BRIGHTON ,VIC,3186,20910,Bayside (C),Murphy Street,VIC,2870,Brighton ,Government,03 8534 6100 ,474
Primary,3163,Carnegie Primary School,51 Truganini Road,O,CARNEGIE ,VIC,3163,22310,Glen Eira (C),51 Truganini Road,VIC,2897,Carnegie ,Government,03 9571 2662 ,476
Primary,3039,Moonee Ponds West Primary School,150 Athol Street ,O,MOONEE PONDS ,VIC,3039,25060,Moonee Valley (C),150 Athol Street ,VIC,2901,Moonee Ponds ,Government,03 9370 6875 ,479
Primary,3207,Port Melbourne Primary School,415 Graham Street,O,PORT MELBOURNE,VIC,3207,25900,Port Phillip (C) ,415 Graham Street,VIC,2932,Port Melbourne,Government,03 9646 1001 ,485
Primary,3204,Ormond Primary School,P O Box 465,O,BENTLEIGH,VIC,3204,22310,Glen Eira (C),Cnr Murray & Wheatley Roads,VIC,3074,Ormond ,Government,03 9578 1327 ,507
Primary,3044,Pascoe Vale Primary School ,362 Gaffney Street,O,PASCOE VALE,VIC,3044,25250,Moreland (C) ,362 Gaffney Street,VIC,3081,Pascoe Vale,Government,03 9354 1611 ,510
Primary,3068,Merri Creek Primary School ,Miller Street,O,FITZROY NORTH,VIC,3068,27350,Yarra (C),Miller Street,VIC,3110,Fitzroy North,Government,03 9481 0177 ,514
Primary,3068,Spensley Street Primary School ,193 Spensley Street,O,CLIFTON HILL ,VIC,3068,27350,Yarra (C),193 Spensley Street,VIC,3146,Clifton Hill ,Government,03 9481 4666 ,519
Primary,3102,Kew East Primary School,35 Kitchener Street,O,Kew East ,VIC,3102,21110,Boroondara (C),35 Kitchener Street,VIC,3161,Kew East ,Government,03 9859 2903 ,520
Primary,3057,Brunswick East Primary School,195a Stewart Street,O,BRUNSWICK EAST,VIC,3057,25250,Moreland (C) ,195a Stewart Street,VIC,3179,Brunswick East,Government,03 9387 3361 ,523
Primary,3163,Murrumbeena Primary School ,Hobart Road,O,MURRUMBEENA,VIC,3163,22310,Glen Eira (C),Hobart Road,VIC,3449,Murrumbeena,Government,03 9568 1300 ,557
Primary,3126,Canterbury Primary School,Molesworth Street,O,CANTERBURY,VIC,3126,21110,Boroondara (C),Molesworth Street,VIC,3572,Canterbury,Government,03 9836 4537 ,571
Primary,3055,Brunswick North Primary School ,Pearson Street,O,BRUNSWICK WEST,VIC,3055,25250,Moreland (C) ,Pearson Street,VIC,3585,Brunswick West,Government,03 9383 1400 ,574
Primary,3060,Fawkner Primary School,P O Box 123,O,FAWKNER,VIC,3060,25250,Moreland (C) ,Lorne Street ,VIC,3590,Fawkner,Government,03 9357 3579 ,575
Primary,3193,Black Rock Primary School,P O Box 168,O,BLACK ROCK,VIC,3193,20910,Bayside (C),Arkaringa Crescent,VIC,3631,Black Rock,Government,03 9598 2293 ,582
Primary,3015,Spotswood Primary School ,P O Box 2135 ,O,Spotswood,VIC,3015,23110,Hobsons Bay (C),Melbourne Road,VIC,3659,Spotswood,Government,03 9391 1323 ,586
Primary,3103,Deepdene Primary School,958a Burke Road,O,BALWYN ,VIC,3103,21110,Boroondara (C),958a Burke Road,VIC,3680,Balwyn ,Government,03 9817 1917 ,589
Primary,3163,Glen Huntly Primary School ,P O Box 62,O,GLEN HUNTLY,VIC,3163,22310,Glen Eira (C),Grange Road,VIC,3703,Glen Huntly,Government,03 9571 2933 ,595
Primary,3188,Hampton Primary School,P O Box 97,O,Hampton,VIC,3188,20910,Bayside (C),528 Hampton Street,VIC,3754,Hampton,Government,03 9598 1412 ,603
Special,3004,Victorian College For The Deaf ,P O Box 6306 ,O,St Kilda Rd Central MELBOURNE,VIC,8008,24600,Melbourne (C),597 St Kilda Road,VIC,3774,Melbourne,Government,03 9510 1706 ,604
Primary,3161,Caulfield Junior College ,186 Balaclava Road,O,CAULFIELD NORTH,VIC,3161,22310,Glen Eira (C),186 Balaclava Road,VIC,3820,Caulfield North,Government,03 9509 6872 ,610
Primary,3012,Footscray West Primary School,Argyle Street,O,WEST FOOTSCRAY,VIC,3012,24330,Maribyrnong (C),Argyle Street,VIC,3890,West Footscray,Government,03 9687 1535 ,616
Primary,3187,Gardenvale Primary School,66 Landcox Street,O,BRIGHTON EAST,VIC,3187,20910,Bayside (C),66 Landcox Street,VIC,3897,Brighton East,Government,03 9596 2871 ,618
Primary,3193,Beaumaris Primary School ,P O Box 6140 ,O,Cromer ,VIC,3193,20910,Bayside (C),79-99 Dalgetty Road,VIC,3899,Beaumaris,Government,03 9589 2619 ,619
Primary,3018,Altona Primary School,P O Box 127,O,ALTONA ,VIC,3018,23110,Hobsons Bay (C),109 Blyth Street ,VIC,3923,Altona ,Government,03 9398 2925 ,623
Primary,3058,Coburg West Primary School ,REYNARD STREET,O,COBURG ,VIC,3058,25250,Moreland (C) ,Reynard Street,VIC,3941,Coburg ,Government,03 9386 1286 ,631
Primary,3184,Elwood Primary School,49 Scott Street,O,ELWOOD ,VIC,3184,25900,Port Phillip (C) ,49 Scott Street,VIC,3942,Elwood ,Government,03 9531 2762 ,632
Primary,3040,Aberfeldie Primary School,1 Doone Street,O,Essendon ,VIC,3040,25060,Moonee Valley (C),1 Doone Street,VIC,4220,Essendon ,Government,03 9337 8084 ,678
Primary,3055,Brunswick South West Primary School,South Daly Street,O,BRUNSWICK WEST,VIC,3055,25250,Moreland (C) ,South Daly Street,VIC,4304,Brunswick West,Government,03 9387 6886 ,687
Primary,3053,Carlton Primary School,Cnr Palmerston & Drummond Sts,O,CARLTON,VIC,3053,24600,Melbourne (C),Cnr Palmerston & Drummond Sts,VIC,4980,Carlton,Government,03 9347 6022 ,882
Secondary,3165,Bentleigh Secondary College,P O Box 186,O,BENTLEIGH EAST,VIC,3165,22310,Glen Eira (C),Vivien St,VIC,7255,Bentleigh East,Government,03 9579 1044 ,1237
Secondary,3042,Rosehill Secondary College ,Sapphire Street,O,NIDDRIE,VIC,3042,25060,Moonee Valley (C),Sapphire Street,VIC,7275,Niddrie,Government,03 9337 2488 ,1239
Secondary,3006,Victorian College Of The Arts Secondary School,57 Miles Street,O,SOUTHBANK,VIC,3006,24600,Melbourne (C),57 Miles Street,VIC,7384,Southbank,Government,03 8644 8644 ,1243
Secondary,3104,Balwyn High School,Buchanan Avenue,O,BALWYN NORTH ,VIC,3104,21110,Boroondara (C),Buchanan Avenue,VIC,7550,Balwyn North ,Government,03 9819 7911 ,1250
Primary,3162,Caulfield South Primary School,24 Bundeera Road ,O,CAULFIELD SOUTH,VIC,3162,22310,Glen Eira (C),24 Bundeera Road ,VIC,4315,Caulfield South,Government,03 9578 3718 ,690
Primary,3147,Ashburton Primary School,FAKENHAM ROAD,O,ASHBURTON,VIC,3147,21110,Boroondara (C),Fakenham Road,VIC,4317,Ashburton,Government,03 9885 2559 ,691
Primary,3204,Bentleigh West Primary School,23 Brewer Road,O,BENTLEIGH,VIC,3204,22310,Glen Eira (C),23 Brewer Road,VIC,4318,Bentleigh,Government,03 9557 1228 ,692
Primary,3204,Mckinnon Primary School,P O BOX 8,O,ORMOND ,VIC,3204,22310,Glen Eira (C),253 Tucker Road,VIC,4366,Ormond ,Government,03 9578 1851 ,697
Primary,3055,Brunswick North West Primary School,Culloden Street,O,BRUNSWICK WEST,VIC,3055,25250,Moreland (C) ,Culloden Street,VIC,4399,Brunswick West,Government,03 9386 4624 ,703
Primary,3191,Sandringham East Primary School,P O Box 4232 ,O,Black Rock North ,VIC,3193,20910,Bayside (C),Holloway Road,VIC,4429,Sandringham,Government,03 9598 1704 ,707
Primary,3018,Seaholme Primary School,Box 171,O,ALTONA ,VIC,3018,23110,Hobsons Bay (C),Cnr Millers Rd & Civic Parade,VIC,4440,Seaholme ,Government,03 9398 2806 ,708
Primary,3058,Coburg North Primary School,P O Box 196,O,Pascoe Vale South,VIC,3044,25250,Moreland (C) ,180 O'Hea Street ,VIC,4543,Coburg ,Government,03 9354 1660 ,711
Primary,3104,Balwyn North Primary School,Buchanan Avenue,O,BALWYN NORTH ,VIC,3104,21110,Boroondara (C),Buchanan Avenue,VIC,4638,Balwyn North ,Government,03 9859 4258 ,715
Primary,3147,Solway Primary School,Winton Road,O,ASHBURTON,VIC,3147,21110,Boroondara (C),Winton Road,VIC,4641,Ashburton,Government,03 9885 2421 ,716
Primary,3015,Newport Gardens Primary School ,P O Box 3183 ,O,NEWPORT,VIC,3015,23110,Hobsons Bay (C),Cnr Woods St & Maddox Rd ,VIC,4665,Newport,Government,03 9391 2168 ,726
Primary,3145,Malvern Valley Primary School,Abbotsford Avenue,O,MALVERN EAST ,VIC,3145,26350,Stonnington (C),Abbotsford Avenue,VIC,4669,Malvern East ,Government,03 9569 5820 ,728
Special,3103,Belmore School,49 Stroud Street ,O,BALWYN ,VIC,3103,21110,Boroondara (C),49 Stroud Street ,VIC,4675,Balwyn ,Government,03 9859 8762 ,730
Special,3070,Croxton Special School,159-165 Beaconsfield Parade,O,NORTHCOTE,VIC,3070,21890,Darebin (C),159-165 Beaconsfield Parade,VIC,4679,Northcote,Government,03 9482 5482 ,731
Primary,3073,Reservoir East Primary School,Boldrewood Parade,O,RESERVOIR,VIC,3073,21890,Darebin (C),Boldrewood Parade,VIC,4686,Reservoir,Government,03 9460 1569 ,736
Primary,3204,Tucker Road Bentleigh Primary School,P O Box 1341 ,O,MOORABBIN,VIC,3189,22310,Glen Eira (C),16 Tucker Road,VIC,4687,Bentleigh,Government,03 9557 2044 ,737
Primary,3104,Greythorn Primary School ,Reading Avenue,O,BALWYN NORTH ,VIC,3104,21110,Boroondara (C),Reading Avenue,VIC,4694,Balwyn North ,Government,03 9857 9762 ,742
Primary,3044,Pascoe Vale South Primary School,411 - 429 Reynard Street ,O,PASCOE VALE SOUTH,VIC,3044,25250,Moreland (C) ,411 - 429 Reynard Street ,VIC,4704,Pascoe Vale South,Government,03 9386 4301 ,748
Primary,3073,Reservoir West Primary School,Carrington Road,O,RESERVOIR,VIC,3073,21890,Darebin (C),Carrington Road,VIC,4711,Reservoir,Government,03 9478 8211 ,751
Primary,3165,Coatesville Primary School ,21 Mackie Road,O,BENTLEIGH EAST,VIC,3165,22310,Glen Eira (C),21 Mackie Road,VIC,4712,Bentleigh East,Government,03 9570 1652 ,752
Primary,3046,Oak Park Primary School,Willett Avenue,O,Oak Park ,VIC,3046,25250,Moreland (C) ,Willett Avenue,VIC,4721,Oak Park ,Government,03 9306 9182 ,758
Primary,3044,Pascoe Vale North Primary School,Kent Road,O,PASCOE VALE,VIC,3044,25250,Moreland (C) ,Kent Road,VIC,4731,Pascoe Vale,Government,03 9354 3343 ,763
Primary,3104,Belle Vue Primary School ,20 Highview Road ,O,BALWYN NORTH ,VIC,3104,21110,Boroondara (C),20 Highview Road ,VIC,4733,Balwyn North ,Government,03 9859 6123 ,764
Primary,3165,Valkstone Primary School ,P O Box 101,O,BENTLEIGH EAST,VIC,3165,22310,Glen Eira (C),Valkstone Street ,VIC,4778,Bentleigh East,Government,03 9570 3986 ,786
Primary,3013,Wembley Primary School,32 St Leonards Ave,O,YARRAVILLE,VIC,3013,24330,Maribyrnong (C),32 St Leonards Ave,VIC,4788,Yarraville,Government,03 9314 7054 ,788
Special,3012,Rosamond Special School,P O Box 4255 ,O,WEST FOOTSCRAY,VIC,3012,24330,Maribyrnong (C),15 Rosamond Road ,VIC,4792,Maidstone,Government,03 9318 4511 ,789
Primary,3193,Beaumaris North Primary School ,Wood Street,O,BEAUMARIS,VIC,3193,20910,Bayside (C),Wood Street,VIC,4803,Beaumaris,Government,03 9589 5449 ,792
Primary,3046,Glenroy West Primary School,P O Box 547,O,GLENROY,VIC,3046,25250,Moreland (C) ,York Street,VIC,4809,Glenroy,Government,03 9306 8955 ,796
Primary,3034,Avondale Primary School,P O Box 8,O,AVONDALE HEIGHTS ,VIC,3034,25060,Moonee Valley (C),Clarendon St ,VIC,4812,Avondale Heights ,Government,03 9318 1755 ,799
Primary,3083,Kingsbury Primary School ,1A Maryborough Ave,O,KINGSBURY,VIC,3083,21890,Darebin (C),1A Maryborough Avenue,VIC,4845,Kingsbury,Government,03 9462 2711 ,813
Special,3204,Katandra School,P O Box 298,O,ORMOND ,VIC,3204,22310,Glen Eira (C),2 Walsh Street,VIC,4846,Ormond ,Government,03 9578 6991 ,814
Primary,3060,Moomba Park Primary School ,P O Box 85,O,FAWKNER,VIC,3060,25250,Moreland (C) ,111 Anderson Road,VIC,4876,Fawkner,Government,03 9359 2028 ,828
Special,3046,Glenroy Specialist School,208 Hilton St,O,GLENROY,VIC,3046,25250,Moreland (C) ,208 Hilton Street,VIC,4915,Glenroy,Government,03 9304 2263 ,848
Special,3188,Berendale School ,P O Box 2073 ,O,Moorabbin,VIC,3189,20910,Bayside (C),2 Berend Street,VIC,4928,Hampton East ,Government,03 9555 6141 ,856
Primary,3025,Altona North Primary School,P O Box 218,O,ALTONA NORTH ,VIC,3025,23110,Hobsons Bay (C),51 Cresser Street,VIC,4931,Altona North ,Government,03 9391 4572 ,857
Primary,3121,Richmond West Primary School,P O Box 404,O,RICHMOND ,VIC,3121,27350,Yarra (C),25 Lennox Street ,VIC,5044,Richmond ,Government,03 9427 8736 ,920
Primary,3031,Debney Meadows Primary School,Victoria St. ,O,FLEMINGTON,VIC,3031,25060,Moonee Valley (C),100 Victoria Street,VIC,5068,Flemington,Government,03 9376 1570 ,933
Special,3032,Ascot Vale Special School,1 Tasma Street,O,ASCOT VALE,VIC,3032,25060,Moonee Valley (C),1 Tasma Street,VIC,5109,Ascot Vale,Government,03 9370 8906 ,954
Special,3207,Port Phillip Specialist School ,Cnr Nott & Pool Streets,O,PORT MELBOURNE,VIC,3207,25900,Port Phillip (C) ,Cnr Nott & Pool Streets,VIC,5145,Port Melbourne,Government,03 9646 0855 ,977
Primary,3028,Altona Meadows Primary School,78 - 88 Alma Avenue,O,Altona Meadows,VIC,3028,23110,Hobsons Bay (C),78-88 Alma Avenue,VIC,5172,Altona Meadows,Government,03 9369 1288 ,990
Special,3073,Northern School For Autism ,16-18 Gertz Ave,O,Reservoir,VIC,3073,21890,Darebin (C),16-18 Gertz Ave,VIC,5219,Reservoir,Government,03 9462 5990 ,1019
Primary,3028,Seabrook Primary School,P O Box 1143 ,O,SEABROOK ,VIC,3028,23110,Hobsons Bay (C),83-105 Point Cook Road,VIC,5337,Seabrook ,Government,03 9395 1758 ,1090
Primary,3042,Niddrie Primary School,25 Watt Street,O,NIDDRIE,VIC,3042,25060,Moonee Valley (C),25 Watt Street,VIC,5410,Niddrie,Government,03 9379 6587 ,1129
Secondary,3031,Kensington Community High School,P O Box 321,O,FLEMINGTON,VIC,3031,25060,Moonee Valley (C),405 Racecourse Rd,VIC,7947,Kensington,Government,03 9376 1953 ,1299
Secondary,3102,Kew High School,1393 Burke Road,O,KEW EAST ,VIC,3102,21110,Boroondara (C),1393 Burke Road,VIC,7950,Kew East ,Government,03 9859 8652 ,1300
Secondary,3121,Lynall Hall Community School,P O Box 99,O,RICHMOND ,VIC,3121,27350,Yarra (C),Cnr Gleadell & Highett Street,VIC,8003,Richmond ,Government,03 9428 4421 ,1310
Secondary,3032,Maribyrnong Secondary College,River Street ,O,MARIBYRNONG,VIC,3032,24330,Maribyrnong (C),River Street ,VIC,8015,Maribyrnong,Government,03 9091 8100 ,1313
Secondary,3141,Melbourne High School,Forrest Hill ,O,SOUTH YARRA,VIC,3141,26350,Stonnington (C),Forrest Hill ,VIC,8025,South Yarra,Government,03 9826 0711 ,1315
Primary,3046,Belle Vue Park Primary School,Morell Street,O,GLENROY,VIC,3046,25250,Moreland (C) ,Morell Street,VIC,5453,Glenroy,Government,03 9306 7900 ,1158
Primary,3162,Caulfield Primary School ,724 Glen Huntly Road ,O,CAULFIELD SOUTH,VIC,3162,22310,Glen Eira (C),724 Glen Huntly Road ,VIC,5489,Caulfield South,Government,03 9523 7932 ,1170
Primary,3073,Reservoir Views Primary School ,110 St Vigeons Road,O,Reservoir,VIC,3073,21890,Darebin (C),110 St Vigeons Road,VIC,5523,Reservoir,Government,03 9460 6995 ,1190
Pri/Sec,3066,Collingwood College,Private Bag 63,O,ABBOTSFORD,VIC,3067,27350,Yarra (C),Cnr Cromwell St/McCutcheon Way ,VIC,6212,Collingwood,Government,03 9417 6681 ,1199
