school_type, lga_id, address_postcode,school_name, postal_address_line_1, school_status, postal_address_line_2, postal_town, address_state, postal_postcode, lga_name, address_line_1, address_line_2, postal_state, school_no,longitude, address_town, education_sector, full_phone_no,latitude, entity_type
Primary,267,3171,Heatherhill Primary School,959 Heatherton Road,O,null,SPRINGVALE,VIC,3171,Greater Dandenong (C),959 Heatherton Road,null,VIC,4802,145.15846,Springvale,Government,03 9546 7562,-37.96271,1
Primary,91,3193,Beaumaris North Primary School,Wood Street,O,null,BEAUMARIS,VIC,3193,Bayside (C),Wood Street,null,VIC,4803,145.03627,Beaumaris,Government,03 9589 5449,-37.97414,1
Primary,267,3174,Yarraman Oaks Primary School,27 Liege Avenue,O,null,NOBLE PARK,VIC,3174,Greater Dandenong (C),27 Liege Avenue,null,VIC,4807,145.19153,Noble Park,Government,03 9792 4406,-37.97029,1
Primary,698,3131,Mount Pleasant Road Nunawading Primary School,P O Box 640,O,null,BRENTFORD SQUARE,VIC,3131,Whitehorse (C),Mt Pleasant Road,null,VIC,4808,145.18013,Nunawading,Government,03 9878 1730,-37.82871,1
Primary,525,3046,Glenroy West Primary School,P O Box 547,O,null,GLENROY,VIC,3046,Moreland (C),York Street,null,VIC,4809,144.90843,Glenroy,Government,03 9306 8955,-37.70504,1
Primary,267,3175,Dandenong South Primary School,P O Box 1057,O,null,DANDENONG,VIC,3175,Greater Dandenong (C),52 Kirkham Road,null,VIC,4810,145.21202,Dandenong,Government,03 9792 3726,-37.9985,1
Primary,118,3021,St Albans North Primary School,George Street,O,null,ST ALBANS,VIC,3021,Brimbank (C),George Street,null,VIC,4811,144.80132,St Albans,Government,03 9366 2029,-37.73168,1
Primary,506,3034,Avondale Primary School,P O Box 8,O,null,AVONDALE HEIGHTS,VIC,3034,Moonee Valley (C),Clarendon St,null,VIC,4812,144.86153,Avondale Heights,Government,03 9318 1755,-37.76616,1
Primary,421,3109,Beverley Hills Primary School,P O Box 77,O,null,DONCASTER EAST,VIC,3109,Manningham (C),2 - 14 Cassowary Street,null,VIC,4813,145.15887,Doncaster East,Government,03 9842 1428,-37.79693,1
Primary,217,3199,Frankston Heights Primary School,10 Kalmia Street,O,null,FRANKSTON,VIC,3199,Frankston (C),10 Kalmia Street,null,VIC,4815,145.14671,Frankston,Government,03 9783 4988,-38.16228,1
Primary,698,3129,Kerrimuir Primary School,P O Box 135,O,null,KERRIMUIR,VIC,3129,Whitehorse (C),178 Dorking Road,null,VIC,4816,145.13512,Box Hill North,Government,03 9898 1494,-37.80363,1
Primary,441,3135,Heathmont East Primary School,P O Box 505,O,null,HEATHMONT,VIC,3135,Maroondah (C),Louis Street,null,VIC,4819,145.25769,Heathmont,Government,03 9729 5439,-37.83035,1
Primary,506,3041,Strathmore North Primary School,"Mascoma Street,",O,null,STRATHMORE,VIC,3041,Moonee Valley (C),Mascoma Street,null,VIC,4821,144.91615,Strathmore,Government,03 9379 6575,-37.72486,1
Primary,497,3167,Oakleigh South Primary School,RILEY STREET,O,null,OAKLEIGH SOUTH,VIC,3167,Monash (C),Riley Street,null,VIC,4823,145.0946,Oakleigh South,Government,03 9570 1016,-37.92338,1
Primary,707,3074,Thomastown East Primary School,82 Cedar Street,O,null,THOMASTOWN,VIC,3074,Whittlesea (C),82 Cedar Street,null,VIC,4827,145.02513,Thomastown,Government,03 9465 3032,-37.68046,1
Primary,497,3149,Sussex Heights Primary School,36 Solomon Street,O,null,Mount Waverley,VIC,3149,Monash (C),36 Solomon Street,null,VIC,4832,145.11176,Mount Waverley,Government,03 9807 8120,-37.8892,1
Primary,231,3165,East Bentleigh Primary School,Bignell Road,O,null,East Bentleigh,VIC,3165,Glen Eira (C),Bignell Road,null,VIC,4837,145.06992,East Bentleigh,Government,03 9570 3525,-37.93465,1
Primary,66,3087,Watsonia Primary School,P O Box 175,O,null,WATSONIA,VIC,3087,Banyule (C),Nell Street West,null,VIC,4838,145.08662,Watsonia,Government,03 9435 2917,-37.70643,1
Primary,343,3195,Parktone Primary School,Robert Street,O,null,Parkdale,VIC,3195,Kingston (C),Robert Street,null,VIC,4843,145.08762,Parkdale,Government,03 9580 1207,-37.98704,1
Primary,698,3132,Antonio Park Primary School,631-639 Whitehorse Road,O,null,MITCHAM,VIC,3132,Whitehorse (C),631-639 Whitehorse Road,null,VIC,4844,145.20605,Mitcham,Government,03 9874 4371,-37.8162,1
Primary,189,3083,Kingsbury Primary School,1A Maryborough Ave,O,null,KINGSBURY,VIC,3083,Darebin (C),1A Maryborough Avenue,null,VIC,4845,145.0372,Kingsbury,Government,03 9462 2711,-37.71602,1
Special,231,3204,Katandra School,P O Box 298,O,null,ORMOND,VIC,3204,Glen Eira (C),2 Walsh Street,null,VIC,4846,145.04074,Ormond,Government,03 9578 6991,-37.90206,1
Primary,118,3022,Ardeer Primary School,Suspension Street,O,null,ARDEER,VIC,3022,Brimbank (C),Suspension Street,null,VIC,4848,144.80048,Ardeer,Government,03 9363 1194,-37.78096,1
Primary,343,3169,Westall Primary School,P O Box 1120,O,null,CLAYTON SOUTH,VIC,3169,Kingston (C),Fairbank Road,null,VIC,4851,145.13582,Clayton South,Government,03 9546 8964,-37.94243,1
Primary,327,3043,Tullamarine Primary School,"Broadmeadows Road,",O,null,TULLAMARINE,VIC,3043,Hume (C),Broadmeadows Road,null,VIC,4852,144.87956,Tullamarine,Government,03 9338 2826,-37.7022,1
Primary,421,3114,Park Orchards Primary School,P O Box 59,O,null,PARK ORCHARDS,VIC,3114,Manningham (C),1-3 Bowmore Avenue,null,VIC,4854,145.21582,Park Orchards,Government,03 9876 1249,-37.77972,1
Primary,118,3020,Albion North Primary School,67-73 Furlong Road,O,null,SUNSHINE NORTH,VIC,3020,Brimbank (C),67-73 Furlong Road,null,VIC,4855,144.8239,Sunshine North,Government,03 9312 5900,-37.76269,1
Primary,698,3130,Blackburn Lake Primary School,12 - 14 Florence Street,O,null,BLACKBURN,VIC,3130,Whitehorse (C),12 - 14 Florence Street,null,VIC,4860,145.1661,Blackburn,Government,03 9894 2855,-37.8276,1
Primary,698,3130,Laburnum Primary School,Janet Street,O,null,Blackburn,VIC,3130,Whitehorse (C),Janet Street,null,VIC,4863,145.13875,Blackburn,Government,03 9898 5811,-37.82708,1
Special,421,3111,Heatherwood School,370-380 Springvale Road,O,null,DONVALE,VIC,3111,Manningham (C),370-380 Springvale Road,null,VIC,4871,145.17804,Donvale,Government,03 9842 8319,-37.80034,1
Primary,497,3149,Pinewood Primary School,27-35 Pinewood Drive,O,null,Mount Waverley,VIC,3149,Monash (C),27-35 Pinewood Drive,null,VIC,4874,145.14221,Mount Waverley,Government,03 8847 3200,-37.89016,1
Primary,327,3047,Broadmeadows Primary School,P O Box 132,O,null,DALLAS,VIC,3047,Hume (C),62-70 Blair Street,null,VIC,4875,144.9291,Broadmeadows,Government,03 9302 6060,-37.68042,1
Primary,525,3060,Moomba Park Primary School,P O Box 85,O,null,FAWKNER,VIC,3060,Moreland (C),111 Anderson Road,null,VIC,4876,144.96657,Fawkner,Government,03 9359 2028,-37.69579,1
Primary,506,3033,Keilor Heights Primary School,Ronald Grove,O,null,KEILOR EAST,VIC,3033,Moonee Valley (C),Ronald Grove,null,VIC,4877,144.86649,Keilor East,Government,03 9336 1739,-37.73752,1
Primary,441,3136,Ainslie Parklands Primary School,P O Box 8153,O,null,BURNT BRIDGE,VIC,3136,Maroondah (C),Hinkley Ave,null,VIC,4879,145.26424,Croydon,Government,03 9870 1566,-37.79379,1
Primary,698,3131,Parkmore Primary School,38-54 Jolimont Road,O,null,FOREST HILL,VIC,3131,Whitehorse (C),38-54 Jolimont Road,null,VIC,4881,145.17574,Forest Hill,Government,03 9878 5556,-37.84363,1
Primary,441,3134,Mullum Primary School,P O Box 376,O,null,RINGWOOD,VIC,3134,Maroondah (C),18 Panfield Avenue,null,VIC,4886,145.23944,Ringwood,Government,03 9870 2120,-37.79774,1
Primary,161,3977,Cranbourne Park Primary School,P O Box 659,O,null,CRANBOURNE,VIC,3977,Casey (C),1 Tucker Street,null,VIC,4887,145.27748,Cranbourne,Government,03 5996 1142,-38.10393,1
Primary,66,3084,Viewbank Primary School,"Nevin Parade,",O,null,VIEWBANK,VIC,3084,Banyule (C),Nevin Parade,null,VIC,4892,145.09,Viewbank,Government,03 9459 1512,-37.73473,1
Primary,66,3088,Greenhills Primary School,Mine St,O,null,GREENSBOROUGH,VIC,3088,Banyule (C),Mine Street,null,VIC,4893,145.11865,Greensborough,Government,03 9435 4181,-37.69228,1
Primary,745,3158,Upwey South Primary School,P O Box 1158,O,null,UPWEY,VIC,3158,Yarra Ranges (S),91 Morris Road,null,VIC,4894,145.32684,Upwey,Government,03 9757 0200,-37.91314,1
Primary,571,3095,Eltham East Primary School,P O Box 396,O,null,ELTHAM,VIC,3095,Nillumbik (S),Grove Street,null,VIC,4897,145.1551,Eltham,Government,03 9439 9793,-37.71148,1
Primary,217,3198,Belvedere Park Primary School,30 Belvedere Road,O,null,SEAFORD,VIC,3198,Frankston (C),30 Belvedere Road,null,VIC,4902,145.1468,Seaford,Government,03 9786 3205,-38.10972,1
Primary,497,3149,Essex Heights Primary School,22 - 30 Essex Road,O,null,MOUNT WAVERLEY,VIC,3149,Monash (C),22-30 Essex Road,null,VIC,4903,145.11511,Mount Waverley,Government,03 9807 4944,-37.86295,1
Primary,367,3156,Mountain Gate Primary School,P O Box 1047,O,null,MOUNTAIN GATE,VIC,3156,Knox (C),Adele Avenue,null,VIC,4905,145.26877,Ferntree Gully,Government,03 9758 2811,-37.8863,1
Primary,367,3156,Fairhills Primary School,Manuka Drive,O,null,FERNTREE GULLY,VIC,3156,Knox (C),Manuka Drive,null,VIC,4906,145.26572,Ferntree Gully,Government,03 9758 3007,-37.86925,1
Primary,367,3155,Boronia West Primary School,25 Tormore Road,O,null,BORONIA,VIC,3155,Knox (C),25 Tormore Road,null,VIC,4908,145.27847,Boronia,Government,03 9762 2510,-37.85856,1
Primary,343,3189,Southmoor Primary School,Rica Street,O,null,MOORABBIN,VIC,3189,Kingston (C),Rica Street,null,VIC,4910,145.05595,Moorabbin,Government,03 9555 1235,-37.94183,1
Primary,441,3134,Ringwood Heights Primary School,P O Box 467,O,null,RINGWOOD NORTH,VIC,3134,Maroondah (C),60 Summit Crescent,null,VIC,4911,145.2178,Ringwood North,Government,03 9870 3050,-37.80286,1
Special,525,3046,Glenroy Specialist School,208 Hilton St,O,null,GLENROY,VIC,3046,Moreland (C),208 Hilton Street,null,VIC,4915,144.92053,Glenroy,Government,03 9304 2263,-37.69936,1
Primary,441,3136,Ruskin Park Primary School,18- 20 Ruskin Avenue,O,null,Croydon,VIC,3136,Maroondah (C),18 - 20 Ruskin Ave,null,VIC,4916,145.29616,Croydon,Government,03 9723 3886,-37.79894,1
Special,267,3175,Emerson School,1430 Heatherton Road,O,null,DANDENONG,VIC,3175,Greater Dandenong (C),1430 Heatherton Road,null,VIC,4918,145.2081,Dandenong,Government,03 9791 8900,-37.96986,1
Primary,217,3199,Karingal Primary School,P O Box 6112,O,null,KARINGAL,VIC,3199,Frankston (C),Mallum Avenue,null,VIC,4922,145.15228,Frankston,Government,03 9789 0514,-38.13792,1
Primary,497,3150,Mount View Primary School,Shepherd Road,O,null,GLEN WAVERLEY,VIC,3150,Monash (C),Shepherd Road,null,VIC,4923,145.17885,Glen Waverley,Government,03 9560 0471,-37.88355,1
Primary,497,3149,Syndal South Primary School,14 Montgomery Avenue,O,null,Mount Waverley,VIC,3149,Monash (C),14 Montgomery Avenue,null,VIC,4924,145.14297,Mount Waverley,Government,03 9802 5277,-37.87909,1
Primary,66,3094,Montmorency South Primary School,P O Box 82,O,null,MONTMORENCY,VIC,3094,Banyule (C),64 Buena Vista Drive,null,VIC,4925,145.12984,Montmorency,Government,03 9439 6201,-37.72558,1
Special,91,3188,Berendale School,P O Box 2073,O,null,Moorabbin,VIC,3189,Bayside (C),2 Berend Street,null,VIC,4928,145.03181,Hampton East,Government,03 9555 6141,-37.93896,1
Primary,311,3025,Altona North Primary School,P O Box 218,O,null,ALTONA NORTH,VIC,3025,Hobsons Bay (C),51 Cresser Street,null,VIC,4931,144.84937,Altona North,Government,03 9391 4572,-37.83693,1
Primary,698,3151,Burwood Heights Primary School,Cnr Hawthorn & Mahoneys Rds,O,null,Burwood East,VIC,3151,Whitehorse (C),Cnr Hawthorn & Mahoneys Rds,null,VIC,4932,145.16273,Burwood East,Government,03 9803 8311,-37.84674,1
Primary,66,3088,Watsonia Heights Primary School,61 Henry Street,O,null,GREENSBOROUGH,VIC,3088,Banyule (C),61 Henry Street,null,VIC,4935,145.10072,Greensborough,Government,03 9435 4617,-37.7153,1
Primary,745,3138,Pembroke Primary School,P O Box 62,O,null,MOOROOLBARK,VIC,3138,Yarra Ranges (S),Pembroke Road,null,VIC,4937,145.32549,Mooroolbark,Government,03 9725 6689,-37.79596,1
Primary,217,3200,Mahogany Rise Primary School,P O Box 10037,O,null,Pines Forest,VIC,3200,Frankston (C),25 Forster Avenue,null,VIC,4939,145.1574,Frankston North,Government,03 9786 3211,-38.12562,1
Primary,66,3083,Bundoora Primary School,P O Box 245,O,null,WATSONIA,VIC,3087,Banyule (C),Balmoral Avenue,null,VIC,4944,145.06299,Bundoora,Government,03 9467 2601,-37.70734,1
Primary,118,3021,University Park Primary School,Lister Street,O,null,ST ALBANS,VIC,3021,Brimbank (C),Lister Street,null,VIC,4945,144.80302,St Albans,Government,03 9366 1356,-37.75506,1
Primary,118,3021,St Albans Heights Primary School,Norwich Street,O,null,ST ALBANS,VIC,3021,Brimbank (C),Norwich Street,null,VIC,4948,144.8097,St Albans,Government,03 9366 3127,-37.74847,1
Special,327,3047,Hume Valley School,15--41 Koroit Ave,O,null,Broadmeadows,VIC,3047,Hume (C),15- 41 Koroit Avenue,null,VIC,4950,144.92702,Broadmeadows,Government,03 9309 3477,-37.6724,1
Primary,343,3194,Mentone Park Primary School,Broome Avenue,O,null,MENTONE,VIC,3194,Kingston (C),Broome Avenue,null,VIC,4955,145.0828,Mentone,Government,03 9583 4935,-37.98001,1
Primary,421,3111,Donvale Primary School,P O Box 132,O,null,DONCASTER EAST,VIC,3109,Manningham (C),Elata Street,null,VIC,4961,145.17366,Donvale,Government,03 9842 3373,-37.80049,1
Primary,367,3155,Boronia Heights Primary School,Landscape Drive,O,null,BORONIA,VIC,3155,Knox (C),Landscape Drive,null,VIC,4967,145.29648,Boronia,Government,03 9729 2614,-37.84457,1
Special,497,3150,Glenallen School,7 Allen Street,O,null,GLEN WAVERLEY,VIC,3150,Monash (C),7 Allen Street,null,VIC,4968,145.16174,Glen Waverley,Government,03 9561 1966,-37.88836,1
Primary,367,3153,Bayswater South Primary School,Enfield Drive,O,null,BAYSWATER,VIC,3153,Knox (C),Enfield Drive,null,VIC,4973,145.26135,Bayswater,Government,03 9729 2862,-37.8549,1
Primary,217,3198,Seaford North Primary School,P O Box 305,O,null,SEAFORD,VIC,3198,Frankston (C),81 Hallifax Street,null,VIC,4974,145.1336,Seaford,Government,03 9786 5674,-38.09016,1
Primary,707,3074,Lalor East Primary School,PO Box 1072,O,null,LALOR,VIC,3075,Whittlesea (C),39 Cleveland Street,null,VIC,4976,145.03496,Thomastown,Government,03 9465 4350,-37.67653,1
Special,118,3021,Jackson School,Mulhall Drive,O,null,ST ALBANS,VIC,3021,Brimbank (C),Mulhall Drive,null,VIC,4979,144.81418,St Albans,Government,03 9366 4322,-37.75602,1
Primary,460,3053,Carlton Primary School,Cnr Palmerston & Drummond Sts,O,null,CARLTON,VIC,3053,Melbourne (C),Cnr Palmerston & Drummond Sts,null,VIC,4980,144.97044,Carlton,Government,03 9347 6022,-37.7956,1
Primary,421,3107,Templestowe Valley Primary School,P O Box 117,O,null,BULLEEN,VIC,3105,Manningham (C),15 Birchwood Avenue,null,VIC,4985,145.10938,Lower Templestowe,Government,03 8850 5777,-37.76061,1
Primary,497,3150,Highvale Primary School,33 ASHTON STREET,O,null,GLEN WAVERLEY,VIC,3150,Monash (C),33 Ashton Street,null,VIC,4986,145.17421,Glen Waverley,Government,03 9887 8000,-37.8664,1
Primary,66,3087,Watsonia North Primary School,16 Sharpes Road,O,null,WATSONIA NORTH,VIC,3087,Banyule (C),16 Sharpes Road,null,VIC,4988,145.08076,Watsonia North,Government,03 9435 1285,-37.70052,1
Primary,267,3175,Wooranna Park Primary School,89-105 CARLTON ROAD,O,null,DANDENONG,VIC,3175,Greater Dandenong (C),89-105 Carlton Road,null,VIC,4989,145.21683,Dandenong,Government,03 9795 2007,-37.9603,1
Primary,367,3180,Knox Park Primary School,Kathryn Road,O,null,KNOXFIELD,VIC,3180,Knox (C),Kathryn Road,null,VIC,4990,145.2514,Knoxfield,Government,03 9763 6533,-37.88363,1
Primary,421,3108,Birralee Primary School,Heyington Avenue,O,null,DONCASTER,VIC,3108,Manningham (C),Heyington Avenue,null,VIC,4991,145.11334,Doncaster,Government,03 9848 4996,-37.79328,1
Primary,217,3199,Derinya Primary School,Overport Road,O,null,FRANKSTON SOUTH,VIC,3199,Frankston (C),Overport Road,null,VIC,4996,145.12094,Frankston South,Government,03 9787 3633,-38.17444,1
Primary,707,3074,Thomastown West Primary School,98-112 Main Street,O,null,THOMASTOWN,VIC,3074,Whittlesea (C),98-112 Main Street,null,VIC,4999,145.0008,Thomastown,Government,03 9465 4317,-37.6787,1
Primary,367,3178,Rowville Primary School,P O Box 2439,O,null,ROWVILLE,VIC,3178,Knox (C),Paratea Drive,null,VIC,5000,145.23798,Rowville,Government,03 9764 1955,-37.92316,1
Primary,726,3029,Mossfiel Primary School,Langridge Street,O,null,HOPPERS CROSSING,VIC,3029,Wyndham (C),Langridge Street,null,VIC,5002,144.69597,Hoppers Crossing,Government,03 9749 1227,-37.87293,1
Primary,421,3107,Templestowe Heights Primary School,PO Box 2066 LPO,O,null,TEMPLESTOWE LOWER,VIC,3107,Manningham (C),276-300 High Street,null,VIC,5004,145.11935,Templestowe Lower,Government,03 9850 1796,-37.76721,1
Primary,217,3199,Ballam Park Primary School,P O Box 7329,O,null,"Karingal Centre P.O.,FRANKSTON",VIC,3199,Frankston (C),Belar Avenue,null,VIC,5005,145.15828,Frankston,Government,03 9789 5614,-38.14746,1
Primary,327,3429,Sunbury West Primary School,P O Box 285,O,null,Sunbury,VIC,3429,Hume (C),479-491 Elizabeth Drive,null,VIC,5006,144.71349,Sunbury,Government,03 9740 8666,-37.57478,1
Primary,327,3043,Gladstone Park Primary School,15 - 25 South Circular Road,O,null,GLADSTONE PARK,VIC,3043,Hume (C),15 - 25 South Circular Road,null,VIC,5007,144.8866,Gladstone Park,Government,03 9338 2774,-37.68804,1
Primary,745,3138,Manchester Primary School,P O Box 161,O,null,MOOROOLBARK,VIC,3138,Yarra Ranges (S),Monomeith Street,null,VIC,5009,145.3086,Mooroolbark,Government,03 9726 6931,-37.77207,1
Primary,497,3150,Glendal Primary School,55 Nottingham Street,O,null,GLEN WAVERLEY,VIC,3150,Monash (C),55 Nottingham Street,null,VIC,5010,145.15898,Glen Waverley,Government,03 9803 1330,-37.8673,1
Primary,745,3138,Bimbadeen Heights Primary School,18 Hayrick Lane,O,null,Mooroolbark,VIC,3138,Yarra Ranges (S),18 Hayrick Lane,null,VIC,5011,145.32114,Mooroolbark,Government,03 9726 9989,-37.77376,1
Primary,367,3156,Wattle View Primary School,P O Box 229,O,null,FERNTREE GULLY,VIC,3156,Knox (C),Wattletree Road,null,VIC,5012,145.27802,Ferntree Gully,Government,03 9758 4322,-37.87582,1
Primary,66,3088,Sherbourne Primary School,Outlook Crescent,O,null,BRIAR HILL,VIC,3088,Banyule (C),Outlook Crescent,null,VIC,5013,145.1298,Briar Hill,Government,03 9434 7142,-37.70891,1
Primary,421,3109,Donburn Primary School,P O Box 1003,O,null,DONCASTER EAST,VIC,3109,Manningham (C),Colchester Drive,null,VIC,5019,145.16553,Doncaster East,Government,03 9841 8099,-37.78746,1
Special,698,3133,Vermont South Special School,P O Box 6069,O,null,VERMONT SOUTH,VIC,3133,Whitehorse (C),22-30 Livingstone Road,null,VIC,5025,145.1806,Vermont South,Government,03 9802 8199,-37.85114,1
Special,66,3083,Concord School,P O Box 90,O,null,BUNDOORA,VIC,3083,Banyule (C),411 Grimshaw Street,null,VIC,5027,145.07501,Bundoora,Government,03 9467 3972,-37.702,1
Primary,118,3023,Deer Park West Primary School,Quinn Street,O,null,DEER PARK,VIC,3023,Brimbank (C),Quinn Street,null,VIC,5032,144.76541,Deer Park,Government,03 9363 3519,-37.77097,1
Primary,327,3061,Campbellfield Heights Primary School,P.O. 200,O,null,CAMPBELLFIELD,VIC,3061,Hume (C),1-13 Laurel Crescent,null,VIC,5034,144.96564,Campbellfield,Government,03 9359 5502,-37.67443,1
Primary,707,3075,Lalor North Primary School,P O Box 1013,O,null,LALOR,VIC,3075,Whittlesea (C),2 Derna Crescent,null,VIC,5035,145.02853,Lalor,Government,03 9465 4922,-37.66415,1
Primary,465,3337,Melton West Primary School,P O Box 1493,O,null,MELTON,VIC,3337,Melton (C),4 Westmelton Drive,null,VIC,5036,144.56749,Melton,Government,03 9743 5818,-37.67748,1
Primary,571,3089,Diamond Creek East Primary School,P O Box 33,O,null,DIAMOND CREEK,VIC,3089,Nillumbik (S),129-163 Main Hurstbridge Road,null,VIC,5037,145.16595,Diamond Creek,Government,03 9438 1413,-37.67347,1
Primary,497,3150,Brandon Park Primary School,1-5 Ninevah Crescent,O,null,Wheelers Hill,VIC,3150,Monash (C),1-5 Ninevah Crescent,null,VIC,5038,145.17325,Wheelers Hill,Government,03 9560 4423,-37.91432,1
Primary,367,3153,Bayswater West Primary School,Phyllis Street,O,null,BAYSWATER,VIC,3153,Knox (C),Phyllis Street,null,VIC,5039,145.25252,Bayswater,Government,03 9729 3394,-37.84958,1
Primary,534,3931,Mornington Park Primary School,Robertson Dve,O,null,MORNINGTON,VIC,3931,Mornington Peninsula (S),Robertson Drive,null,VIC,5040,145.05817,Mornington,Government,03 5975 4011,-38.22602,1
Primary,217,3200,Aldercourt Primary School,P O Box 1013,O,null,Belvedere Park PO Seaford,VIC,3198,Frankston (C),Silver Avenue,null,VIC,5043,145.16162,Frankston North,Government,03 9786 4488,-38.11662,1
Primary,735,3121,Richmond West Primary School,P O Box 404,O,null,RICHMOND,VIC,3121,Yarra (C),25 Lennox Street,null,VIC,5044,144.99574,Richmond,Government,03 9427 8736,-37.81363,1
Primary,441,3135,Marlborough Primary School,Hardy Crescent,O,null,HEATHMONT,VIC,3135,Maroondah (C),Hardy Crescent,null,VIC,5045,145.23294,Heathmont,Government,03 9870 3468,-37.83641,1
Primary,118,3021,Stevensville Primary School,P O Box 209,O,null,ST ALBANS,VIC,3021,Brimbank (C),52 Kings Road,null,VIC,5047,144.78096,St Albans,Government,03 9366 1381,-37.73588,1
Primary,745,3796,Birmingham Primary School,P O Box 234,O,null,LILYDALE,VIC,3140,Yarra Ranges (S),43-49 Francis Crescent,null,VIC,5048,145.36852,Mount Evelyn,Government,03 9736 3260,-37.77958,1
Primary,726,3029,Woodville Primary School,33-57 Warringa Crescent,O,null,HOPPERS CROSSING,VIC,3029,Wyndham (C),33-57 Warringa Crescent,null,VIC,5049,144.69234,Hoppers Crossing,Government,03 9749 2770,-37.8837,1
Primary,118,3020,Glengala/Sunshine West Primary School,Kermeen Street,O,null,SUNSHINE WEST,VIC,3020,Brimbank (C),Kermeen Street,null,VIC,5050,144.81511,Sunshine,Government,03 9311 7810,-37.79926,1
Primary,217,3199,Karingal Heights Primary School,P O Box 6094,O,null,KARINGAL,VIC,3199,Frankston (C),Havana Crescent,null,VIC,5053,145.16637,Frankston,Government,03 9789 3288,-38.14102,1
Primary,267,3174,Wallarano Primary School,PO Box 218,O,null,NOBLE PARK,VIC,3174,Greater Dandenong (C),38-64 Wallarano Drive,null,VIC,5055,145.1706,Noble Park,Government,03 9798 1890,-37.97969,1
Primary,745,3140,Lilydale West Primary School,P O Box 314,O,null,LILYDALE,VIC,3140,Yarra Ranges (S),Bowen Road,null,VIC,5057,145.33629,Lilydale,Government,03 9735 4670,-37.7552,1
Primary,745,3138,Mooroolbark East Primary School,P O Box 27,O,null,MOOROOLBARK,VIC,3138,Yarra Ranges (S),Taylor Road,null,VIC,5059,145.3357,Mooroolbark,Government,03 9726 9422,-37.7868,1
Primary,118,3020,Ardeer South Primary School,59-75 Murray Street,O,null,SUNSHINE WEST,VIC,3020,Brimbank (C),59-75 Murray Street,null,VIC,5064,144.799,Sunshine West,Government,03 9363 2768,-37.7884,1
Primary,745,3137,Gladesville Primary School,P.O. Box 142,O,null,KILSYTH,VIC,3137,Yarra Ranges (S),Gladesville Drive,null,VIC,5066,145.3229,Kilsyth,Government,03 9728 1877,-37.8111,1
Primary,506,3031,Debney Meadows Primary School,100 Victoria Street,O,null,FLEMINGTON,VIC,3031,Moonee Valley (C),100 Victoria Street,null,VIC,5068,144.93526,Flemington,Government,03 9376 1570,-37.78578,1
Primary,161,3805,Fountain Gate Primary School,Prospect Hill Road,O,null,NARRE WARREN,VIC,3805,Casey (C),Prospect Hill Road,null,VIC,5072,145.2952,Narre Warren,Government,03 9703 1187,-38.00942,1
Primary,441,3135,Tinternvale Primary School,PO Box 179,O,null,BAYSWATER,VIC,3153,Maroondah (C),Tintern Avenue,null,VIC,5075,145.26534,Ringwood East,Government,03 9720 1215,-37.81841,1
Special,217,3199,Naranga Special School,PO BOX 7052,O,null,KARINGAL CENTRE,VIC,3199,Frankston (C),14 Naranga Crescent,null,VIC,5080,145.163,Frankston,Government,03 9788 2222,-38.14716,1
Primary,367,3156,Kent Park Primary School,Greenaway Drive,O,null,FERNTREE GULLY,VIC,3156,Knox (C),Greenaway Drive,null,VIC,5082,145.26276,Ferntree Gully,Government,03 9763 8055,-37.88336,1
Primary,118,3023,Deer Park North Primary School,18-36 Mawson Avenue,O,null,DEER PARK,VIC,3023,Brimbank (C),18-36 Mawson Avenue,null,VIC,5084,144.77493,Deer Park,Government,03 9363 4600,-37.75615,1
Primary,267,3175,Rosewood Downs Primary School,P O Box 2269,O,null,DANDENONG NORTH,VIC,3175,Greater Dandenong (C),25 Murray Road,null,VIC,5087,145.21426,Dandenong North,Government,03 9795 3744,-37.94423,1
Primary,465,3338,Coburn Primary School,P O Box 2048,O,null,MELTON SOUTH,VIC,3338,Melton (C),26 Richard Road,null,VIC,5090,144.57195,Melton South,Government,03 9971 2900,-37.6948,1
Primary,726,3030,Manorvale Primary School,P O Box 591,O,null,WERRIBEE,VIC,3030,Wyndham (C),232-246 Greaves St North,null,VIC,5091,144.64389,Werribee,Government,03 9741 6300,-37.89406,1
Primary,327,3043,Gladstone Views Primary School,195 - 227 Carrick Drive,O,null,GLADSTONE PARK,VIC,3043,Hume (C),195 - 227 Carrick Drive,null,VIC,5093,144.89767,Gladstone Park,Government,03 9338 6083,-37.6896,1
Primary,497,3150,Wheelers Hill Primary School,134-148 Whites Lane,O,null,WHEELERS HILL,VIC,3150,Monash (C),134-148 Whites Lane,null,VIC,5094,145.1776,Wheelers Hill,Government,03 9561 3457,-37.90017,1
Special,497,3147,Ashwood School,Montpellier Road,O,null,ASHWOOD,VIC,3147,Monash (C),Montpellier Road,null,VIC,5097,145.10716,Ashwood,Government,03 9808 7444,-37.85966,1
Primary,327,3047,Broadmeadows Valley Primary School,P O Box 558,O,null,Dallas,VIC,3047,Hume (C),Dimboola Road,null,VIC,5098,144.9132,Broadmeadows,Government,03 9099 1050,-37.6811,1
Special,421,3105,Bulleen Heights School,P O Box 5,O,null,BULLEEN,VIC,3105,Manningham (C),49-61 Pleasant Road,null,VIC,5099,145.09506,Bulleen,Government,03 9850 7122,-37.76329,1
